,Progress,Duration (in seconds),Finished,RecordedDate,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q41,Q40,Q43,Q43_5_TEXT,Q45,Q45_11_TEXT,Q46,Q35,Q36,Q16,Q19,Q20,Q21,Q97,Q23,Q24,Q26,Q25,Q27,Q92,Q60,Q61,Q62,Q63,Q64,Q67,Q68,Q69,Q95,Q71,Q72,Q81,Q82,Q83,Q85,Q86,Q32
118,100,487,True,2022-10-11 22:02:55,,,40.595,-75.5289,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Liberal,At least once every day,Always,"Yes, rarely","Recent news pertaining to violent subjects, religious videos. ",I selected the option to no longer recommend videos from the offending channels.,,video,No,No,,,3,2,Yes,No,,,2,Yes,No,,Yes,,3,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa110
119,100,295,True,2022-10-11 22:03:45,,,39.1397,-86.5141,anonymous,EN,I consent to participate in this survey,Bachelor degree,Non-binary,,White,,Very liberal,At least once every week,Most of the time,"Yes, sometimes",Conservative/transphobic video essays,"Blocking those creators, hitting dislike button, saying ""not interested""",,Video,Not sure,No,,,4,2,Yes,Yes,,4,,Yes,Yes,,Yes,4,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa127
120,100,378,True,2022-10-11 22:03:50,,,33.8308,-118.1125,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,"Hispanic, Latino, Latina, or Latinx,White",,Very liberal,At least once every day,Always,"Yes, sometimes","animals being killed, children being hit, people being injured or dying in car/manufacturing accidents","I disliked the video and selected ""don't recommend this channel""",,video,Yes,No,,,1- not at all effective,2,Yes,Yes,,2,,Yes,Yes,,Yes,3,,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaa119
121,100,389,True,2022-10-11 22:04:55,,,39.9587,-82.9987,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,"American Indian or Alaskan Native,Asian or Asian American,Black or African American,Native Hawaiian or Other Pacific Islander",,Moderate,At least once every day,Always,Never,,,I would click on it and say not interested.,Video,No,,Not sure,,3,2,Yes,,Not sure,,3,Yes,,Yes,Yes,,5- completely effective,Yes,,Yes,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa126
122,100,276,True,2022-10-11 22:05:00,,,33.5226,-86.8033,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every week,Rarely,Never,,,Check and change my preferences,Video,Not sure,,Not sure,,Not sure,2,Not sure,,Yes,,4,Not sure,,Yes,Yes,,2,No,,No,,1- not at all effective,aaaaaaaaaaaaaaaaaaaaa132
123,100,216,True,2022-10-11 22:05:03,,,37.5537,-77.4602,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Liberal,At least once every week,Most of the time,"Yes, sometimes","sexism, racism, violence, etc.","ignore those videos, or leave the site",,video,No,No,,,4,2,Yes,No,,,3,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa135
124,100,329,True,2022-10-11 22:05:24,,,32.3736,-86.1833,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, sometimes","clickbait, conservative people ranting","I click on ""not interested""",,video,Yes,Not sure,,,Not sure,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa131
125,100,490,True,2022-10-11 22:05:25,,,34.0021,-81.0423,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Black or African American,,Very liberal,At least once every day,Always,"Yes, sometimes",Crime scene clean ups. Reality show clips. Right wing political commentary. ,"I selected the ""Do Not Recommend"" option from the tab.",,Video,No,No,,,3,2,Yes,Yes,,2,,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa116
126,100,561,True,2022-10-11 22:06:12,,,35.1947,-80.744,anonymous,EN,I consent to participate in this survey,Less than high school degree,Woman,,Asian or Asian American,,Very conservative,At least once every day,Always,"Yes, sometimes",Video are very good,Awesome ,,Video ,Yes,Yes,,5- completely effective,,5- completely effective,Yes,Yes,,5- completely effective,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,-1
127,100,512,True,2022-10-11 22:06:34,,,42.6669,-88.263,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Moderate,At least once every day,Most of the time,"Yes, sometimes",Video of suggestive adult sexual themes. Political not geared towards me,ignored them,,video,Yes,No,,,3,2,Yes,No,,,4,Yes,Yes,,Yes,4,,Not sure,Not sure,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa123
128,100,197,True,2022-10-11 22:06:42,,,45.5135,-122.5041,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Moderate,At least once every week,Most of the time,"Yes, rarely",Game recommendations I wasn't interested in,,,video,No,No,,,3,2,Yes,No,,,1- not at all effective,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa142
129,100,469,True,2022-10-11 22:06:58,,,32.6773,-117.0477,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,Asian or Asian American,,Very liberal,At least once every day,Always,"Yes, sometimes",Sometimes I'll be recommended a video on a topic that is related to a video I've seen in the past such as science or cars but I'm only interested in those topics from people im subscribed to. ,"I'll click on the ""Don't show me videos from this channel"" button to get rid of the video.",,video,Yes,No,,,Not sure,2,Yes,No,,,3,Yes,Yes,,Yes,4,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa128
130,100,248,True,2022-10-11 22:07:05,,,41.8379,-88.0842,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very conservative,At least once every day,Always,"Yes, very frequently",News and other current events ,I refreshed the YouTube app,,video,No,No,,,5- completely effective,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,3,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa141
131,100,332,True,2022-10-11 22:07:20,,,33.6454,-86.7014,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Very liberal,At least once every week,Most of the time,"Yes, sometimes",animal abuse or neglect,I just stopped watching,,video,No,No,,,2,2,Yes,Yes,,1- not at all effective,,No,No,,Yes,,2,No,No,,,1- not at all effective,aaaaaaaaaaaaaaaaaaaaa137
132,100,597,True,2022-10-11 22:07:57,,,41.3847,-81.7982,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Moderate,At least once every week,Always,"Yes, rarely","topics I'm generally not interested in like kids, vlogs, clothes or things that simply have uninteresting thumbnails","I usually press the three dots and choose ""not interested"" so that it's removed from my recommended feed and I don't even have to click on the video",,video,Yes,No,,,1- not at all effective,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa124
133,100,360,True,2022-10-11 22:08:04,,,39.6973,-104.8394,anonymous,EN,I consent to participate in this survey,Some college but no degree,Non-binary,,White,,Very liberal,At least once every day,Always,"Yes, rarely",disturbing crime,no action taken,,video,No,No,,,2,2,Yes,No,,,2,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa138
134,100,513,True,2022-10-11 22:08:25,,,26.2975,-80.1816,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every day,Always,"Yes, sometimes",anything with fox news and their misinformation,I clicked on the not interested,,video,No,No,,,4,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,4,,Yes,Not sure,,,3,aaaaaaaaaaaaaaaaaaaaa129
135,100,300,True,2022-10-11 22:08:33,,,41.6583,-72.6624,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,White,,Moderate,At least once every day,Always,"Yes, sometimes",Livestreams or rebroadcasts of live streams that are low quality and have no interest to me.,I usually ignore them or spam cycle through videos I do like and then the recommendations totally change after a few seconds of clicking.,,video,No,No,,,Not sure,2,Yes,No,,,2,Not sure,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa146
136,100,230,True,2022-10-11 22:08:38,,,39.7764,-86.1077,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every day,Always,"Yes, rarely","violent, aggressive, physical harm","I took no action, only continued to search preferred content topics ",,video,Yes,Yes,,2,,2,Yes,No,,,3,Yes,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa152
137,100,473,True,2022-10-11 22:08:54,,,47.6034,-122.3414,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,White,,Conservative,At least once every day,Always,"Yes, sometimes",Old videos on philosophy from a really uninformed youtuber,Clicked to not show that channel ,,video,No,Not sure,,,4,2,Yes,No,,,2,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa130
138,100,409,True,2022-10-11 22:09:09,,,34.0318,-118.4252,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Asian or Asian American,,Liberal,At least once every day,Less than half of the time,"Yes, sometimes",violent videos,"If I am logged, I choose ""not interested,"" and if not logged in, I just refresh the page.",,video,Yes,Not sure,,,3,2,Yes,No,,,3,Yes,Yes,,Yes,3,,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa140
139,100,291,True,2022-10-11 22:09:15,,,39.9401,-82.8965,anonymous,EN,I consent to participate in this survey,Some college but no degree,Non-binary,,Black or African American,,Liberal,At least once every day,Always,"Yes, very frequently","Political content, offensive influencers","Search for something specific I want to see or click ""not interested"" or to block the uploader if applicable",,video,Yes,No,,,3,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,Not sure,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa150
140,100,270,True,2022-10-11 22:09:22,,,40.8275,-73.1225,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, very frequently",There are many times it simply suggests very immature suggestions when I'm simply looking for calming asmr. ,Just downvoted. ,,Video,No,No,,,2,2,Yes,Yes,,4,,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa151
141,100,358,True,2022-10-11 22:09:31,,,47.223,-122.5361,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very conservative,At least once every week,Always,"Yes, sometimes",anti second amendment,clicked on don't recommend channel,,video,No,No,,,3,2,Yes,No,,,1- not at all effective,Yes,No,,Yes,,3,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa144
142,100,690,True,2022-10-11 22:09:37,,,35.7768,-119.2414,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,"Hispanic, Latino, Latina, or Latinx",,Very liberal,At least once every week,Always,"Yes, sometimes","content for kids, prank videos, videos of problematic influencers ","I click on the ""not interested"" or ""do not recommend channel"" option ",,video ,Yes,No,,,1- not at all effective,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa125
143,100,304,True,2022-10-11 22:10:19,,,38.8511,-104.7688,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,"Asian or Asian American,White",,Liberal,At least once every week,Always,"Yes, rarely",Aside from being irrelevant there would be videos ranging from highly political in nature to borderline inappropriate for work such as raunchy subjects that do not appeal to me.,I just try to view content that pertains to my actual interests in hopes the algorithm would adjust to reflect what I actually enjoy consuming.,,video,No,No,,,5- completely effective,2,Yes,Yes,,2,,No,No,,Yes,,3,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa153
144,100,537,True,2022-10-11 22:11:03,,,42.2789,-85.6904,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Liberal,At least once every day,Always,Never,,,"If I was on mobile, I would tap on the three dots on the video and then tap that I'm not interested in the channel and the video.",video,No,,No,,1- not at all effective,2,Yes,,No,,1- not at all effective,Yes,,Yes,Yes,,4,Yes,,Yes,,4,aaaaaaaaaaaaaaaaaaaaa139
145,100,172,True,2022-10-11 22:11:06,,,32.8003,-117.2438,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Moderate,At least once every day,Most of the time,Never,,,ask to hide such content,video,No,,Yes,,4,2,Yes,,Yes,,4,Yes,,Yes,Yes,,4,No,,Yes,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa158
146,100,158,True,2022-10-11 22:11:26,,,32.7104,-117.0528,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,White,,Very liberal,At least once every week,Always,Never,,,Try to block certain feeds ,Video,No,,Yes,,3,2,Yes,,Yes,,3,No,,Yes,Yes,,3,No,,Yes,,3,aaaaaaaaaaaaaaaaaaaaa166
147,100,310,True,2022-10-11 22:11:28,,,41.3596,-96.1566,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,White,,Moderate,At least once every day,Most of the time,"Yes, sometimes",videos I was not interested in ,"clicked on them and chose ""see less often""",,video,No,No,,,4,2,Yes,Yes,,4,,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa155
148,100,216,True,2022-10-11 22:11:47,,,28.5504,-81.1833,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Liberal,At least once every day,Always,"Yes, sometimes",suggestive content about creators I watch,click not interested or don’t suggest videos from this channel anymore,,video,Not sure,No,,,Not sure,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa159
149,100,284,True,2022-10-11 22:12:27,,,36.0499,-83.9228,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,"Hispanic, Latino, Latina, or Latinx,White",,Moderate,At least once every day,Always,"Yes, sometimes",videos about eating disorders,Sometimes I say I am not interested. Other times i just refresh the page to get new recommendations.,,video,Yes,No,,,4,2,Yes,Not sure,,,4,Yes,Yes,,Yes,4,,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa157
150,100,1358,True,2022-10-11 22:12:33,,,35.8846,-78.6385,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,Black or African American,,Moderate,At least once every day,Always,"Yes, sometimes",Videos about violence that I don't agree with. ,I hit the option that I wasn't interested in the video and they stopped sending them to me as often.,,"""video"".",Yes,Not sure,,,Not sure,Not sure,Yes,No,,,Not sure,Yes,Yes,,Yes,4,,Yes,Not sure,,,Not sure,aaaaaaaaaaaaaaaaaaaaaa96
151,100,684,True,2022-10-11 22:12:35,,,42.9752,-78.8816,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Liberal,At least once every day,Always,"Yes, very frequently",Mainly videos about trains and how they run. ,Told youtube they were innapropriate,,video,Yes,Yes,,4,,2,Yes,Yes,,5- completely effective,,Yes,No,,Yes,,4,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaa133
152,100,682,True,2022-10-11 22:13:04,,,42.6374,-82.5764,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Moderate,At least once every day,Always,"Yes, very frequently",live streaming content IRL,Looked for other live streaming content that was less offensive ,,video,Yes,Yes,,5- completely effective,,2,Yes,Yes,,2,,Yes,No,,Yes,,4,No,No,,,3,aaaaaaaaaaaaaaaaaaaaa136
153,100,267,True,2022-10-11 22:13:18,,,32.7797,-96.8022,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Conservative,At least once every week,Always,"Yes, rarely","Nothing graphic, but pushing opinions too much ",,,Video,No,No,,,5- completely effective,2,Yes,No,,,3,Yes,No,,Yes,,3,Yes,No,,,2,aaaaaaaaaaaaaaaaaaaaa165
154,100,233,True,2022-10-11 22:13:26,,,40.8792,-111.8686,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,White,,Very conservative,At least once every week,Most of the time,"Yes, sometimes",Content related to content that other family members have viewed,I just ignored it,,video,No,No,,,4,2,Yes,No,,,4,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa170
155,100,394,True,2022-10-11 22:13:35,,,47.6008,-122.3248,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Black or African American,,Very liberal,At least once every day,Always,"Yes, sometimes","Videos about political topics opposite of my beliefs, and videos from channels I'm not interested in",I selected a button next to the videos that allowed me to hide them and indicate I'm not interested in them,,video,Yes,No,,,4,2,Yes,No,,,2,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa156
156,100,332,True,2022-10-11 22:13:45,,,34.0587,-118.2781,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, sometimes","Stuff in a language that I don't speak, but i assume is recommended to me because I speak Japanese (ie. content in non japanese ""asian"" languages). and trashy content.",Clicked the icon and hit do not recommend ,,video,Yes,Yes,,3,,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,2,,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaa160
157,100,285,True,2022-10-11 22:13:53,,,39.0539,-95.7097,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Conservative,At least once every day,Always,"Yes, sometimes",dumb political bs or baseball,I click on the 3 dots and click either don't recommend channel or whatever,,video,Yes,No,,,5- completely effective,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa167
158,100,1022,True,2022-10-11 22:13:53,,,38.839,-104.8412,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Very liberal,At least once every week,Most of the time,"Yes, rarely","""wellness"" style influencers that seem like scams, with right wing anti-vax overtones","They were autoplay videos at the end of a video I watched, so I think I clicked the thumbs down and then hit the back button to get away from the video  ",,video,No,No,,,5- completely effective,2,Yes,Yes,,3,,No,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa114
159,100,594,True,2022-10-11 22:13:54,,,27.4674,-82.511,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every day,Most of the time,"Yes, sometimes",They were videos about animals that were sick or injured and graphic videos about rare health conditions  ,"I clicked the ""Do not recommend channel"" and ""Not interested"" buttons. ",,video,Yes,No,,,3,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa148
160,100,345,True,2022-10-11 22:14:13,,,29.4744,-90.544,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Moderate,At least once every day,Always,"Yes, sometimes",They were videos that contained language I couldn't play around my children.,I disliked them,,Video,No,No,,,5- completely effective,2,Yes,Yes,,5- completely effective,,No,No,,Yes,,5- completely effective,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa163
161,100,607,True,2022-10-11 22:14:33,,,40.6739,-73.9358,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Conservative,At least once every month,Never,Never,,,Ignore it ,video,No,,Not sure,,Not sure,2,Yes,,No,,1- not at all effective,No,,No,Yes,,1- not at all effective,No,,No,,1- not at all effective,aaaaaaaaaaaaaaaaaaaaa149
162,100,295,True,2022-10-11 22:14:34,,,28.5177,-81.4508,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Asian or Asian American,,Moderate,At least once every week,Most of the time,"Yes, sometimes",videos not what I like,No actions taken.,,video,No,No,,,2,2,Not sure,Not sure,,,2,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa173
163,100,683,True,2022-10-11 22:14:45,,,44.628,-123.9256,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Liberal,At least once every day,Always,"Yes, sometimes","Most of what I respond to negatively are advertisements. I indicate clearly I don't want to see them and then the quantity diminshes for a period of time only to resume in quantity after an interval of time. BTW, this scrolling input pane is an absolutely shitty way to elicit responses and I suggest to stop using the format in future studies.",I used the option of excluding them from my home page.,,video,Yes,Yes,,3,,2,Yes,Yes,,3,,Yes,No,,Yes,,2,No,No,,,3,aaaaaaaaaaaaaaaaaaaaa143
164,100,134,True,2022-10-11 22:15:05,,,34.1499,-116.312,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Moderate,At least once every week,Half of the time,"Yes, rarely",Graphic animation ,Just ignored them,,Video,No,No,,,5- completely effective,2,Yes,No,,,1- not at all effective,No,No,,Yes,,3,No,No,,,3,aaaaaaaaaaaaaaaaaaaaa190
165,100,330,True,2022-10-11 22:15:05,,,29.8737,-97.9361,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,"Hispanic, Latino, Latina, or Latinx,White",,Very liberal,At least once every day,Most of the time,"Yes, rarely","Overconsumption (hauls, mukbang); sexualized images of women; political content that I don't agree with",I just skipped past them,,video,Yes,No,,,4,2,Yes,No,,,2,No,No,,Yes,,3,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa171
166,100,262,True,2022-10-11 22:15:10,,,38.4957,-121.5348,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,Asian or Asian American,,Very liberal,At least once every day,Most of the time,"Yes, very frequently","Cars, travel, food, politics",I clicked on the button that told Youtube to not recommend me the channel anymore. I do this with every recommendation that I don't like.,,video,Yes,No,,,1- not at all effective,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,2,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa172
167,100,377,True,2022-10-11 22:15:27,,,33.4772,-84.0554,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,Black or African American,,Liberal,At least once every day,Most of the time,"Yes, rarely","In most cases, subject matter I didn't care about or videos related to right-wing politics and the figures that dominate it.","Cleared my watch/search history and/or removed interests google had attached to my profile. And clicked the ""not interested"" or ""don't recommend channel"" buttons depending on what it was.",,video,Yes,Yes,,2,,2,Yes,No,,,Not sure,Yes,Yes,,Yes,3,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaa168
168,100,226,True,2022-10-11 22:15:40,,,42.6219,-70.6762,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",horror or health related ,none,,video,No,No,,,Not sure,2,Yes,No,,,2,Yes,Yes,,Yes,3,,No,No,,,3,aaaaaaaaaaaaaaaaaaaaa181
169,100,365,True,2022-10-11 22:15:51,,,34.1354,-117.599,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Black or African American,,Liberal,At least once every day,Always,"Yes, rarely",Ponographic material or boaderline,"I just bypass the video, I don't do anything else",,video,No,No,,,4,2,Yes,Not sure,,,3,No,No,,Yes,,2,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa174
170,100,207,True,2022-10-11 22:15:54,,,33.735,-117.785,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, sometimes",right-wing news,"Click ""Don't recommend this channel""",,video,Yes,Yes,,4,,2,Yes,Yes,,4,,Yes,No,,Yes,,5- completely effective,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa184
171,100,232,True,2022-10-11 22:15:55,,,45.08,-93.0227,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Liberal,At least once every day,Always,"Yes, sometimes",Republicans debating abortion rights.,"If I recall, there is a ""dislike"" or ""I don't like this video"" button. If that wasn't the case, I simply closed it and moved on.",,video,No,No,,,2,2,Yes,Yes,,3,,Yes,Yes,,Yes,4,,Yes,No,,,3,aaaaaaaaaaaaaaaaaaaaa183
172,100,758,True,2022-10-11 22:15:56,,,38.5273,-89.1356,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,White,,Liberal,At least once every day,Most of the time,"Yes, sometimes",Poor medical outcomes are the subject of the videos,I did not take any action other than not watching the videos.,,video,No,No,,,3,2,Yes,No,,,2,No,No,,Yes,,3,No,No,,,4,aaaaaaaaaaaaaaaaaaaaa134
173,100,671,True,2022-10-11 22:16:35,,,39.8864,-79.7249,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Liberal,At least once every week,Most of the time,"Yes, rarely",Political in nature.,I ignored them. I thought interating with them might lead to more fecommendtion is the future.,,video,Yes,No,,,3,3,Yes,No,,,Not sure,No,No,,Yes,,Not sure,No,No,,,Not sure,aaaaaaaaaaaaaaaaaaaaa154
174,100,303,True,2022-10-11 22:16:39,,,43.0475,-87.8964,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,Black or African American,,Very liberal,At least once every week,Most of the time,"Yes, sometimes",I saw videos from YouTubers I don't like and games I don't like.,"I deleted my search history, and I clicked not interested near the video.",,video,No,No,,,3,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,2,,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaa180
175,100,350,True,2022-10-11 22:16:53,,,41.5576,-90.5461,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Asian or Asian American,,Moderate,At least once every day,Always,"Yes, sometimes","Gaming videos, religious preaching videos",I tried both “not interested” and “do not recommend this channel”. It doesn’t work very well. ,,video,No,No,,,2,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,2,,aaaaaaaaaaaaaaaaaaaaa179
176,100,452,True,2022-10-11 22:16:55,,,38.5674,-121.32,anonymous,EN,I consent to participate in this survey,Some college but no degree,"Man,Non-binary",,"Hispanic, Latino, Latina, or Latinx,White",,Very liberal,At least once every day,Always,"Yes, rarely","offensive politics, videos made by people I find abhorrent, or sometimes simply topics I have no interest in","Most of the time I just ignore them, but occasionally I'll click the options by the title and select ""not interested"" or ""don't recommend this channel""",,video,No,No,,,1- not at all effective,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa169
177,100,234,True,2022-10-11 22:17:20,,,29.5,-98.6744,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,"Black or African American,Hispanic, Latino, Latina, or Latinx",,Very liberal,At least once every day,Always,"Yes, rarely",Youtubers I don't want to see,Selected not interested or don't reccomend this channel,,Video,Yes,No,,,1- not at all effective,2,Yes,Not sure,,,3,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaa192
178,100,558,True,2022-10-11 22:17:36,,,40.1016,-88.2822,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every day,Most of the time,"Yes, very frequently","Watch witchy content, cause I'm pagan, then get recommend things from conservative christians telling me I'ma go to hell. Alternatively, watching one vid about minecraft cottage core, then getting recs on how to build in minecraft","Actions taken were clicking on the 'do not recommend this channnel' with the hope it would stop recommending things like this to me, never works though",,video,Yes,Yes,,3,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,1- not at all effective,,Yes,Yes,,2,,aaaaaaaaaaaaaaaaaaaaa161
179,100,249,True,2022-10-11 22:17:41,,,30.6798,-88.2914,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,"Hispanic, Latino, Latina, or Latinx,White",,Very liberal,At least once every day,Half of the time,"Yes, rarely",animals being harmed or people being harmed,dislike them,,video,No,No,,,4,2,Yes,Yes,,5- completely effective,,Not sure,Not sure,,Yes,,5- completely effective,Yes,Not sure,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaa193
